experiment_name,train_loss,val_loss
Res_L7_U32_LR0001_BS500_E10000,0.0013515265745809302,0.002900330349802971
Res_L7_U128_LR0001_BS500_E10000,0.0010977331185131334,0.0025950088165700436
Res_L8_U2_LR0001_BS500_E10000,0.2149665206670761,0.21329909563064575
Res_L8_U8_LR0001_BS500_E10000,0.004984084313036874,0.013247285038232803
Res_L8_U32_LR0001_BS500_E10000,0.0004203669996059034,0.002281244145706296
Res_L8_U128_LR0001_BS500_E10000,0.00023082061852619518,0.0010683283908292651
Res_L9_U2_LR0001_BS500_E10000,0.08935383055359125,0.10785481333732605
Res_L9_U8_LR0001_BS500_E10000,0.00927008525468409,0.03444720804691315
Res_L9_U32_LR0001_BS500_E10000,0.0013404906931100413,0.0016422782791778445
Res_L9_U128_LR0001_BS500_E10000,0.00012771365072694607,0.0010504326783120632
